Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.1 2017-07-28
Full Report (All Nutrients)
Report Run at: September 16, 2017 11:36 EDT
"Nutrient data for: 09040, Bananas, raw"
Food Group:  Fruits and Fruit Juices
Common Name:
Carbohydrate Factor: 3.6 Fat Factor: 8.37 Protein Factor: 3.36 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 36% Refuse Description: Skin 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, mashed = 225.0g","1 cup, sliced = 150.0g","1 extra small (less than 6"" long) = 81.0g","1 small (6"" to 6-7/8"" long) = 101.0g","1 medium (7"" to 7-7/8"" long) = 118.0g","1 large (8"" to 8-7/8"" long) = 136.0g","1 extra large (9"" or longer) = 152.0g","1 NLEA serving = 126.0g",
Proximates
"Water",g,74.91,20,0.286,168.55,112.36,60.68,75.66,88.39,101.88,113.86,94.39
"Energy",kcal,89,--,--,200,134,72,90,105,121,135,112
"Energy",kJ,371,--,--,835,556,301,375,438,505,564,467
"Protein",g,1.09,12,0.022,2.45,1.64,0.88,1.10,1.29,1.48,1.66,1.37
"Total lipid (fat)",g,0.33,19,0.067,0.74,0.49,0.27,0.33,0.39,0.45,0.50,0.42
"Ash",g,0.82,12,0.030,1.84,1.23,0.66,0.83,0.97,1.12,1.25,1.03
"Carbohydrate, by difference",g,22.84,--,--,51.39,34.26,18.50,23.07,26.95,31.06,34.72,28.78
"Fiber, total dietary",g,2.6,13,0.129,5.8,3.9,2.1,2.6,3.1,3.5,4.0,3.3
"Sugars, total",g,12.23,8,1.034,27.52,18.34,9.91,12.35,14.43,16.63,18.59,15.41
"Sucrose",g,2.39,8,0.546,5.38,3.58,1.94,2.41,2.82,3.25,3.63,3.01
"Glucose (dextrose)",g,4.98,8,0.806,11.21,7.47,4.03,5.03,5.88,6.77,7.57,6.27
"Fructose",g,4.85,8,0.658,10.91,7.28,3.93,4.90,5.72,6.60,7.37,6.11
"Lactose",g,0.00,8,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.01,8,0.014,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01
"Galactose",g,0.00,8,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,5.38,8,0.564,12.11,8.07,4.36,5.43,6.35,7.32,8.18,6.78
Minerals
"Calcium, Ca",mg,5,45,0.047,11,8,4,5,6,7,8,6
"Iron, Fe",mg,0.26,42,0.001,0.58,0.39,0.21,0.26,0.31,0.35,0.40,0.33
"Magnesium, Mg",mg,27,45,0.475,61,40,22,27,32,37,41,34
"Phosphorus, P",mg,22,45,0.171,50,33,18,22,26,30,33,28
"Potassium, K",mg,358,45,1.911,806,537,290,362,422,487,544,451
