Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-22
Full Report (All Nutrients)
Report Run at: February 26, 2017 16:21 EST
"Nutrient data for: 12220, Seeds, flaxseed"
Food Group:  Nut and Seed Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 5.3 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 tbsp, whole = 10.3g","1 cup, whole = 168.0g","1 tbsp, ground = 7.0g","1 tsp, whole = 3.4g","1 tsp, ground = 2.5g",
Proximates
"Water",g,6.96,3,1.636,0.72,11.69,0.49,0.24,0.17
"Energy",kcal,534,--,--,55,897,37,18,13
"Energy",kJ,2234,--,--,230,3753,156,76,56
"Protein",g,18.29,7,0.917,1.88,30.73,1.28,0.62,0.46
"Total lipid (fat)",g,42.16,6,3.188,4.34,70.83,2.95,1.43,1.05
"Ash",g,3.72,3,0.026,0.38,6.25,0.26,0.13,0.09
"Carbohydrate, by difference",g,28.88,--,--,2.97,48.52,2.02,0.98,0.72
"Fiber, total dietary",g,27.3,3,0.323,2.8,45.9,1.9,0.9,0.7
"Sugars, total",g,1.55,--,--,0.16,2.60,0.11,0.05,0.04
"Sucrose",g,1.15,3,0.310,0.12,1.93,0.08,0.04,0.03
"Glucose (dextrose)",g,0.40,3,0.190,0.04,0.67,0.03,0.01,0.01
"Fructose",g,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00
"Lactose",g,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,3,0.000,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.00,--,--,0.00,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,255,7,35.614,26,428,18,9,6
"Iron, Fe",mg,5.73,7,0.555,0.59,9.63,0.40,0.19,0.14
"Magnesium, Mg",mg,392,7,20.100,40,659,27,13,10
"Phosphorus, P",mg,642,3,20.250,66,1079,45,22,16
"Potassium, K",mg,813,7,9.340,84,1366,57,28,20
"Sodium, Na",mg,30,7,3.989,3,50,2,1,1
"Zinc, Zn",mg,4.34,7,0.118,0.45,7.29,0.30,0.15,0.11
"Copper, Cu",mg,1.220,7,0.075,0.126,2.050,0.085,0.041,0.030
"Manganese, Mn",mg,2.482,7,0.186,0.256,4.170,0.174,0.084,0.062
"Selenium, Se",µg,25.4,2,--,2.6,42.7,1.8,0.9,0.6
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,3,0.108,0.1,1.0,0.0,0.0,0.0
"Thiamin",mg,1.644,3,1.111,0.169,2.762,0.115,0.056,0.041
"Riboflavin",mg,0.161,3,0.071,0.017,0.270,0.011,0.005,0.004
"Niacin",mg,3.080,3,0.130,0.317,5.174,0.216,0.105,0.077
"Pantothenic acid",mg,0.985,3,0.415,0.101,1.655,0.069,0.033,0.025
"Vitamin B-6",mg,0.473,3,0.138,0.049,0.795,0.033,0.016,0.012
"Folate, total",µg,87,3,24.975,9,146,6,3,2
"Folic acid",µg,0,--,--,0,0,0,0,0
"Folate, food",µg,87,3,24.975,9,146,6,3,2
