Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.1 2017-07-28
Full Report (All Nutrients)
Report Run at: September 23, 2017 15:51 EDT
"Nutrient data for: 16137, Hummus, home prepared"
Food Group:  Legumes and Legume Products
Common Name:

Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 tablespoon = 15.0g","1 cup = 246.0g",
Proximates
"Water",g,64.87,--,--,9.73,159.58
"Energy",kcal,177,--,--,27,435
"Energy",kJ,742,--,--,111,1825
"Protein",g,4.86,--,--,0.73,11.96
"Total lipid (fat)",g,8.59,--,--,1.29,21.13
"Ash",g,1.56,--,--,0.23,3.84
"Carbohydrate, by difference",g,20.12,--,--,3.02,49.50
"Fiber, total dietary",g,4.0,--,--,0.6,9.8
"Sugars, total",g,0.27,--,--,0.04,0.66
Minerals
"Calcium, Ca",mg,49,--,--,7,121
"Iron, Fe",mg,1.56,--,--,0.23,3.84
"Magnesium, Mg",mg,29,--,--,4,71
"Phosphorus, P",mg,110,--,--,16,271
"Potassium, K",mg,173,--,--,26,426
"Sodium, Na",mg,242,--,--,36,595
"Zinc, Zn",mg,1.09,--,--,0.16,2.68
"Copper, Cu",mg,0.224,--,--,0.034,0.551
"Manganese, Mn",mg,0.567,--,--,0.085,1.395
"Selenium, Se",µg,2.4,--,--,0.4,5.9
Vitamins
"Vitamin C, total ascorbic acid",mg,7.9,--,--,1.2,19.4
"Thiamin",mg,0.089,--,--,0.013,0.219
"Riboflavin",mg,0.052,--,--,0.008,0.128
"Niacin",mg,0.399,--,--,0.060,0.982
"Pantothenic acid",mg,0.287,--,--,0.043,0.706
"Vitamin B-6",mg,0.399,--,--,0.060,0.982
"Folate, total",µg,59,--,--,9,145
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,59,--,--,9,145
"Folate, DFE",µg,59,--,--,9,145
"Choline, total",mg,27.8,--,--,4.2,68.4
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,0,--,--,0,0
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,2,--,--,0,5
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,2,--,--,0,5
"Vitamin A, IU",IU,5,--,--,1,12
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,1,--,--,0,2
"Vitamin E (alpha-tocopherol)",mg,0.75,--,--,0.11,1.84
"Vitamin E, added",mg,0.00,--,--,0.00,0.00
"Tocopherol, beta",mg,0.01,--,--,0.00,0.02
"Tocopherol, gamma",mg,0.04,--,--,0.01,0.10
"Tocopherol, delta",mg,0.00,--,--,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,3.0,--,--,0.5,7.4
Lipids
"Fatty acids, total saturated",g,1.141,--,--,0.171,2.807
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000
"14:0",g,0.008,--,--,0.001,0.020
"16:0",g,0.881,--,--,0.132,2.167
"17:0",g,0.001,--,--,0.000,0.002
"18:0",g,0.223,--,--,0.033,0.549
"20:0",g,0.021,--,--,0.003,0.052
"22:0",g,0.006,--,--,0.001,0.015
"24:0",g,0.000,--,--,0.000,0.000
"Fatty acids, total monounsaturated",g,4.865,--,--,0.730,11.968
"14:1",g,0.000,--,--,0.000,0.000
"16:1 undifferentiated",g,0.072,--,--,0.011,0.177
"17:1",g,0.006,--,--,0.001,0.015
"18:1 undifferentiated",g,4.767,--,--,0.715,11.727
"20:1",g,0.019,--,--,0.003,0.047
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,2.109,--,--,0.316,5.188
"18:2 undifferentiated",g,2.035,--,--,0.305,5.006
"18:3 undifferentiated",g,0.074,--,--,0.011,0.182
"18:4",g,0.000,--,--,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000
