


"Choline Bitartarte"
"Energy",kcal,0.0
"Protein",g,0.0
"Total lipid (fat)",g,0.0
"Carbohydrate, by difference",g,0.0
"Fiber, total dietary",g,0.0
"Sugars, total",g,0.0
"Calcium, Ca",mg,0.0
"Iron, Fe",mg,0.0
"Magnesium, Mg",mg,0.0
"Phosphorus, P",mg,0.0
"Potassium, K",mg,0.0
"Sodium, Na",mg,0.0
"Zinc, Zn",mg,0.0
"Copper, Cu",mg,0.0
"Manganese, Mn",mg,0.0
"Selenium, Se",µg,0.0
"Vitamin C, total ascorbic acid",mg,0.0
"Thiamin",mg,0.0
"Riboflavin",mg,0.0
"Niacin",mg,0.0
"Pantothenic acid",mg,0.0
"Vitamin B-6",mg,0.0
"Folate, total",µg,0.0
"Choline, total",mg, 500
"Vitamin B-12",µg,0.0
"Vitamin A, RAE",µg,0.0
"Vitamin E (alpha-tocopherol)",mg,0.0
"Vitamin D (D2 + D3)",µg,0.0
"Vitamin K (phylloquinone)",µg,0.0
"Fatty acids, total saturated",g,0.0
"18:2 undifferentiated",g,0.0
"18:3 undifferentiated",g,0.0
"Cholesterol",mg,0.0
