Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.1 2017-07-28
Full Report (All Nutrients)
Report Run at: September 07, 2017 08:01 EDT
"Nutrient data for: david_lemon_juice, David lemon juice"
Food Group:  Fruits and Fruit Juices
Common Name:
Carbohydrate Factor: 2.7 Fat Factor: 8.37 Protein Factor: 3.36 Nitrogen to Protein Conversion Factor: 6.25 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 244.0g","1 fl oz = 30.5g","1 lemon yields = 48.0g","1 wedge yields = 5.9g",
Proximates
"Water",g,92.31,6,0.259,225.24,28.15,44.31,5.45
"Energy",kcal,22,--,--,54,7,11,1
"Energy",kJ,91,--,--,222,28,44,5
"Protein",g,0.35,6,0.003,0.85,0.11,0.17,0.02
"Total lipid (fat)",g,0.24,6,0.164,0.59,0.07,0.12,0.01
"Ash",g,0.21,6,0.043,0.51,0.06,0.10,0.01
"Carbohydrate, by difference",g,6.90,--,--,16.84,2.10,3.31,0.41
"Fiber, total dietary",g,0.3,6,0.092,0.7,0.1,0.1,0.0
"Sugars, total",g,2.52,4,0.105,6.15,0.77,1.21,0.15
"Sucrose",g,0.43,4,0.120,1.05,0.13,0.21,0.03
"Glucose (dextrose)",g,0.99,4,0.013,2.42,0.30,0.48,0.06
"Fructose",g,1.10,4,0.032,2.68,0.34,0.53,0.06
"Lactose",g,0.00,4,0.000,0.00,0.00,0.00,0.00
"Maltose",g,0.00,4,0.000,0.00,0.00,0.00,0.00
"Galactose",g,0.00,4,0.000,0.00,0.00,0.00,0.00
"Starch",g,0.00,1,--,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,6,6,2.150,15,2,3,0
"Iron, Fe",mg,0.08,4,0.005,0.20,0.02,0.04,0.00
"Magnesium, Mg",mg,6,6,0.915,15,2,3,0
"Phosphorus, P",mg,8,6,2.865,20,2,4,0
"Potassium, K",mg,103,8,6.063,251,31,49,6
"Sodium, Na",mg,1,15,0.178,2,0,0,0
"Zinc, Zn",mg,0.05,6,0.021,0.12,0.02,0.02,0.00
"Copper, Cu",mg,0.016,6,0.003,0.039,0.005,0.008,0.001
"Manganese, Mn",mg,0.012,6,0.005,0.029,0.004,0.006,0.001
