"Apples"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.8.6.1 2017-07-28
Full Report (All Nutrients)
Report Run at: September 27, 2017 15:06 EDT
"Nutrient data for: 09003, Apples, raw, with skin"
Food Group:  Fruits and Fruit Juices
Common Name:Includes USDA commodity food A343
Carbohydrate Factor: 3.6 Fat Factor: 8.37 Protein Factor: 3.36 Nitrogen to Protein Conversion Factor: 6.25 
Refuse: 10% Refuse Description: Core and stem 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup, quartered or chopped = 125.0g","1 cup slices = 109.0g","1 large (3-1/4"" dia) = 223.0g","1 medium (3"" dia) = 182.0g","1 small (2-3/4"" dia) = 149.0g","1 extra small (2-1/2"" dia) = 101.0g","1 NLEA serving = 242.0g",
Proximates
"Water",g,85.56,38,0.241,106.95,93.26,190.80,155.72,127.48,86.42,207.06
"Energy",kcal,52,--,--,65,57,116,95,77,53,126
"Energy",kJ,218,--,--,272,238,486,397,325,220,528
"Protein",g,0.26,29,0.019,0.33,0.28,0.58,0.47,0.39,0.26,0.63
"Total lipid (fat)",g,0.17,35,0.011,0.21,0.19,0.38,0.31,0.25,0.17,0.41
"Ash",g,0.19,29,0.018,0.24,0.21,0.42,0.35,0.28,0.19,0.46
"Carbohydrate, by difference",g,13.81,--,--,17.26,15.05,30.80,25.13,20.58,13.95,33.42
"Fiber, total dietary",g,2.4,29,0.276,3.0,2.6,5.4,4.4,3.6,2.4,5.8
"Sugars, total",g,10.39,25,0.112,12.99,11.33,23.17,18.91,15.48,10.49,25.14
"Sucrose",g,2.07,25,0.049,2.59,2.26,4.62,3.77,3.08,2.09,5.01
"Glucose (dextrose)",g,2.43,25,0.031,3.04,2.65,5.42,4.42,3.62,2.45,5.88
"Fructose",g,5.90,25,0.059,7.38,6.43,13.16,10.74,8.79,5.96,14.28
"Lactose",g,0.00,25,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Maltose",g,0.00,25,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Galactose",g,0.00,25,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Starch",g,0.05,10,0.000,0.06,0.05,0.11,0.09,0.07,0.05,0.12
Minerals
"Calcium, Ca",mg,6,26,0.340,8,7,13,11,9,6,15
"Iron, Fe",mg,0.12,16,0.009,0.15,0.13,0.27,0.22,0.18,0.12,0.29
"Magnesium, Mg",mg,5,26,0.073,6,5,11,9,7,5,12
"Phosphorus, P",mg,11,23,0.337,14,12,25,20,16,11,27
"Potassium, K",mg,107,26,2.211,134,117,239,195,159,108,259
"Sodium, Na",mg,1,6,0.071,1,1,2,2,1,1,2
"Zinc, Zn",mg,0.04,26,0.004,0.05,0.04,0.09,0.07,0.06,0.04,0.10
"Copper, Cu",mg,0.027,13,0.001,0.034,0.029,0.060,0.049,0.040,0.027,0.065
"Manganese, Mn",mg,0.035,26,0.002,0.044,0.038,0.078,0.064,0.052,0.035,0.085
"Selenium, Se",µg,0.0,7,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fluoride, F",µg,3.3,1,--,4.1,3.6,7.4,6.0,4.9,3.3,8.0
Vitamins
"Vitamin C, total ascorbic acid",mg,4.6,3,0.470,5.8,5.0,10.3,8.4,6.9,4.6,11.1
"Thiamin",mg,0.017,23,0.002,0.021,0.019,0.038,0.031,0.025,0.017,0.041
"Riboflavin",mg,0.026,20,0.004,0.033,0.028,0.058,0.047,0.039,0.026,0.063
"Niacin",mg,0.091,13,0.006,0.114,0.099,0.203,0.166,0.136,0.092,0.220
"Pantothenic acid",mg,0.061,23,0.012,0.076,0.066,0.136,0.111,0.091,0.062,0.148
"Vitamin B-6",mg,0.041,23,0.001,0.051,0.045,0.091,0.075,0.061,0.041,0.099
"Folate, total",µg,3,23,0.611,4,3,7,5,4,3,7
"Folic acid",µg,0,--,--,0,0,0,0,0,0,0
"Folate, food",µg,3,23,0.611,4,3,7,5,4,3,7
"Folate, DFE",µg,3,--,--,4,3,7,5,4,3,7
"Choline, total",mg,3.4,--,--,4.2,3.7,7.6,6.2,5.1,3.4,8.2
"Betaine",mg,0.1,1,--,0.1,0.1,0.2,0.2,0.1,0.1,0.2
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
