"Canned Chickpeas"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7.1 2017-03-29
Full Report (All Nutrients)
Report Run at: May 21, 2017 11:11 EDT
"Nutrient data for: 16058, Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids"
Food Group:  Legumes and Legume Products
Common Name:
Carbohydrate Factor: 4.07 Fat Factor: 8.37 Protein Factor: 3.47 Nitrogen to Protein Conversion Factor: 6.25 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 cup = 240.0g","1 can (total can contents) = 448.0g",
Proximates
"Water",g,78.55,4,0.318,188.52,351.90
"Energy",kcal,88,--,--,211,394
"Energy",kJ,369,--,--,886,1653
"Protein",g,4.92,4,0.051,11.81,22.04
"Total lipid (fat)",g,1.95,4,0.150,4.68,8.74
"Ash",g,1.09,4,0.110,2.62,4.88
"Carbohydrate, by difference",g,13.49,--,--,32.38,60.44
"Fiber, total dietary",g,4.4,--,--,10.6,19.7
"Sugars, total",g,0.4
Minerals
"Calcium, Ca",mg,35,4,3.782,84,157
"Iron, Fe",mg,1.23,4,0.015,2.95,5.51
"Magnesium, Mg",mg,27,4,0.399,65,121
"Phosphorus, P",mg,80,4,2.952,192,358
"Potassium, K",mg,144,4,11.456,346,645
"Sodium, Na",mg,278,4,22.646,667,1245
"Zinc, Zn",mg,0.69,4,0.030,1.66,3.09
"Copper, Cu",mg,0.153,4,0.010,0.367,0.685
"Manganese, Mn",mg,0.818,4,0.100,1.963,3.665
"Selenium, Se",µg,2.0,--,--,4.8,9.0
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,4,0.076,0.2,0.4
"Thiamin",mg,0.032,4,0.005,0.077,0.143
"Riboflavin",mg,0.015,4,0.000,0.036,0.067
"Niacin",mg,0.130,4,0.012,0.312,0.582
"Pantothenic acid",mg,0.299,--,--,0.718,1.340
"Vitamin B-6",mg,0.473,21,0.060,1.135,2.119
"Folate, total",µg,25,--,--,60,112
"Folic acid",µg,0,--,--,0,0
"Folate, food",µg,25,4,1.915,60,112
"Folate, DFE",µg,25,--,--,60,112
"Choline, total",mg,32.6,--,--,78.2,146.0
"Vitamin B-12",µg,0.00,--,--,0.00,0.00
"Vitamin A, RAE",µg,1,--,--,2,4
"Retinol",µg,0,--,--,0,0
"Carotene, beta",µg,9,--,--,22,40
"Carotene, alpha",µg,0,--,--,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0
"Vitamin A, IU",IU,15,--,--,36,67
"Vitamin E (alpha-tocopherol)",mg,0.3
"Vitamin K (phylloquinone)",µg,4
"Lycopene",µg,0,--,--,0,0
"Lutein + zeaxanthin",µg,0,--,--,0,0
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
Lipids
"Fatty acids, total saturated",g,0.204,--,--,0.490,0.914
"14:0",g,0.003,--,--,0.007,0.013
"16:0",g,0.164,--,--,0.394,0.735
"18:0",g,0.028,--,--,0.067,0.125
"Fatty acids, total monounsaturated",g,0.444,--,--,1.066,1.989
"16:1 undifferentiated",g,0.003,--,--,0.007,0.013
"18:1 undifferentiated",g,0.441,--,--,1.058,1.976
"Fatty acids, total polyunsaturated",g,0.881,--,--,2.114,3.947
"18:2 undifferentiated",g,0.849,--,--,2.038,3.804
"18:3 undifferentiated",g,0.033,--,--,0.079,0.148
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
Amino Acids
"Tryptophan",g,0.048,--,--,0.115,0.215
"Threonine",g,0.184,--,--,0.442,0.824
"Isoleucine",g,0.212,--,--,0.509,0.950
"Leucine",g,0.352,--,--,0.845,1.577
"Lysine",g,0.331,--,--,0.794,1.483
"Methionine",g,0.065,--,--,0.156,0.291
"Cystine",g,0.067,--,--,0.161,0.300
"Phenylalanine",g,0.265,--,--,0.636,1.187
"Tyrosine",g,0.123,--,--,0.295,0.551
"Valine",g,0.208,--,--,0.499,0.932
"Arginine",g,0.466,--,--,1.118,2.088
"Histidine",g,0.136,--,--,0.326,0.609
"Alanine",g,0.212,--,--,0.509,0.950
"Aspartic acid",g,0.582,--,--,1.397,2.607
"Glutamic acid",g,0.866,--,--,2.078,3.880
"Glycine",g,0.206,--,--,0.494,0.923
"Proline",g,0.204,--,--,0.490,0.914
"Serine",g,0.249,--,--,0.598,1.116
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0
Flavonoids
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00
"Genistein",mg,0.00,1,--,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00
"Formononetin",mg,0.00,1,--,0.00,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 14e",2010,,BeltsvilleMD
2,"Thompson, L. U., Boucher, B. A., Liu, Z., Cotterchio, M., and Kreiger, N.","Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan.",2006,Nutr. Cancer,54 pp. 184-184
Footnotes
(a)"Value based on the analysis of 5-methyltetrahydrofolate"
(a)"Value based on the analysis of 5-methyltetrahydrofolate"
(a)"Value based on the analysis of 5-methyltetrahydrofolate"
