"Bread"
Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7.1 2017-03-29
Full Report (All Nutrients)
Report Run at: May 21, 2017 12:09 EDT
"Nutrient data for: 18070, Bread, white, commercially prepared, toasted"
Food Group:  Baked Products
Common Name:

Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 oz = 28.35g","1 cup, crumbs = 45.0g","1 cup, cubes = 42.0g","1 slice, large = 27.0g","1 slice crust not eaten = 11.0g","1 slice, thin = 17.0g","1 slice thin, crust not eaten = 8.0g","1 slice, very thin = 13.0g","1 slice = 22.0g",
Proximates
"Water",g,30.40,--,--,8.62,13.68,12.77,8.21,3.34,5.17,2.43,3.95,6.69
"Energy",kcal,290,--,--,82,130,122,78,32,49,23,38,64
"Energy",kJ,1213,--,--,344,546,509,328,133,206,97,158,267
"Protein",g,9.00,--,--,2.55,4.05,3.78,2.43,0.99,1.53,0.72,1.17,1.98
"Total lipid (fat)",g,4.00,--,--,1.13,1.80,1.68,1.08,0.44,0.68,0.32,0.52,0.88
"Ash",g,2.10,--,--,0.60,0.94,0.88,0.57,0.23,0.36,0.17,0.27,0.46
"Carbohydrate, by difference",g,54.50,--,--,15.45,24.52,22.89,14.71,6.00,9.27,4.36,7.08,11.99
"Fiber, total dietary",g,2.9,--,--,0.8,1.3,1.2,0.8,0.3,0.5,0.2,0.4,0.6
"Sugars, total",g,6.20,--,--,1.76,2.79,2.60,1.67,0.68,1.05,0.50,0.81,1.36
Minerals
"Calcium, Ca",mg,119,--,--,34,54,50,32,13,20,10,15,26
"Iron, Fe",mg,3.33,--,--,0.94,1.50,1.40,0.90,0.37,0.57,0.27,0.43,0.73
"Magnesium, Mg",mg,26,--,--,7,12,11,7,3,4,2,3,6
"Phosphorus, P",mg,103,--,--,29,46,43,28,11,18,8,13,23
"Potassium, K",mg,131,--,--,37,59,55,35,14,22,10,17,29
"Sodium, Na",mg,537,--,--,152,242,226,145,59,91,43,70,118
"Zinc, Zn",mg,0.68,--,--,0.19,0.31,0.29,0.18,0.07,0.12,0.05,0.09,0.15
"Copper, Cu",mg,0.138,--,--,0.039,0.062,0.058,0.037,0.015,0.023,0.011,0.018,0.030
"Manganese, Mn",mg,0.421,--,--,0.119,0.189,0.177,0.114,0.046,0.072,0.034,0.055,0.093
"Selenium, Se",µg,31.0,--,--,8.8,13.9,13.0,8.4,3.4,5.3,2.5,4.0,6.8
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.415,--,--,0.118,0.187,0.174,0.112,0.046,0.071,0.033,0.054,0.091
"Riboflavin",mg,0.337,--,--,0.096,0.152,0.142,0.091,0.037,0.057,0.027,0.044,0.074
"Niacin",mg,3.926,--,--,1.113,1.767,1.649,1.060,0.432,0.667,0.314,0.510,0.864
"Pantothenic acid",mg,0.278,--,--,0.079,0.125,0.117,0.075,0.031,0.047,0.022,0.036,0.061
"Vitamin B-6",mg,0.063,--,--,0.018,0.028,0.026,0.017,0.007,0.011,0.005,0.008,0.014
"Folate, total",µg,104,--,--,29,47,44,28,11,18,8,14,23
"Folic acid",µg,80,--,--,23,36,34,22,9,14,6,10,18
"Folate, food",µg,23,--,--,7,10,10,6,3,4,2,3,5
"Folate, DFE",µg,160,--,--,45,72,67,43,18,27,13,21,35
"Choline, total",mg,16.0,--,--,4.5,7.2,6.7,4.3,1.8,2.7,1.3,2.1,3.5
"Vitamin B-12",µg,0.02,--,--,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Retinol",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Carotene, beta",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Carotene, alpha",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Cryptoxanthin, beta",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,1,--,--,0,0,0,0,0,0,0,0,0
"Lycopene",µg,0,--,--,0,0,0,0,0,0,0,0,0
"Lutein + zeaxanthin",µg,46,--,--,13,21,19,12,5,8,4,6,10
"Vitamin E (alpha-tocopherol)",mg,0.24,--,--,0.07,0.11,0.10,0.06,0.03,0.04,0.02,0.03,0.05
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,3.4,--,--,1.0,1.5,1.4,0.9,0.4,0.6,0.3,0.4,0.7
Lipids
"Fatty acids, total saturated",g,0.764,--,--,0.217,0.344,0.321,0.206,0.084,0.130,0.061,0.099,0.168
"4:0",g,0.001,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.001,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.005,--,--,0.001,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.001
"16:0",g,0.437,--,--,0.124,0.197,0.184,0.118,0.048,0.074,0.035,0.057,0.096
"18:0",g,0.119,--,--,0.034,0.054,0.050,0.032,0.013,0.020,0.010,0.015,0.026
"Fatty acids, total monounsaturated",g,0.796,--,--,0.226,0.358,0.334,0.215,0.088,0.135,0.064,0.103,0.175
"16:1 undifferentiated",g,0.032,--,--,0.009,0.014,0.013,0.009,0.004,0.005,0.003,0.004,0.007
"18:1 undifferentiated",g,0.755,--,--,0.214,0.340,0.317,0.204,0.083,0.128,0.060,0.098,0.166
"20:1",g,0.005,--,--,0.001,0.002,0.002,0.001,0.001,0.001,0.000,0.001,0.001
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,2.090,--,--,0.593,0.941,0.878,0.564,0.230,0.355,0.167,0.272,0.460
"18:2 undifferentiated",g,1.868,--,--,0.530,0.841,0.785,0.504,0.205,0.318,0.149,0.243,0.411
"18:3 undifferentiated",g,0.220,--,--,0.062,0.099,0.092,0.059,0.024,0.037,0.018,0.029,0.048
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,1,--,--,0,0,0,0,0,0,0,0,0
Amino Acids
"Tryptophan",g,0.106,--,--,0.030,0.048,0.045,0.029,0.012,0.018,0.008,0.014,0.023
"Threonine",g,0.267,--,--,0.076,0.120,0.112,0.072,0.029,0.045,0.021,0.035,0.059
"Isoleucine",g,0.354,--,--,0.100,0.159,0.149,0.096,0.039,0.060,0.028,0.046,0.078
"Leucine",g,0.637,--,--,0.181,0.287,0.268,0.172,0.070,0.108,0.051,0.083,0.140
"Lysine",g,0.245,--,--,0.069,0.110,0.103,0.066,0.027,0.042,0.020,0.032,0.054
"Methionine",g,0.158,--,--,0.045,0.071,0.066,0.043,0.017,0.027,0.013,0.021,0.035
"Cystine",g,0.191,--,--,0.054,0.086,0.080,0.052,0.021,0.032,0.015,0.025,0.042
"Phenylalanine",g,0.444,--,--,0.126,0.200,0.186,0.120,0.049,0.075,0.036,0.058,0.098
"Tyrosine",g,0.261,--,--,0.074,0.117,0.110,0.070,0.029,0.044,0.021,0.034,0.057
"Valine",g,0.397,--,--,0.113,0.179,0.167,0.107,0.044,0.067,0.032,0.052,0.087
"Arginine",g,0.346,--,--,0.098,0.156,0.145,0.093,0.038,0.059,0.028,0.045,0.076
"Histidine",g,0.196,--,--,0.056,0.088,0.082,0.053,0.022,0.033,0.016,0.025,0.043
"Alanine",g,0.308,--,--,0.087,0.139,0.129,0.083,0.034,0.052,0.025,0.040,0.068
"Aspartic acid",g,0.449,--,--,0.127,0.202,0.189,0.121,0.049,0.076,0.036,0.058,0.099
"Glutamic acid",g,2.920,--,--,0.828,1.314,1.226,0.788,0.321,0.496,0.234,0.380,0.642
"Glycine",g,0.323,--,--,0.092,0.145,0.136,0.087,0.036,0.055,0.026,0.042,0.071
"Proline",g,0.970,--,--,0.275,0.436,0.407,0.262,0.107,0.165,0.078,0.126,0.213
"Serine",g,0.440,--,--,0.125,0.198,0.185,0.119,0.048,0.075,0.035,0.057,0.097
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0,0,0,0,0
