NDB_No,Shrt_Desc,203,204,205,207,208,209,210,211,212,213,214,221,255,257,262,263,268,269,287,291,301,303,304,305,306,307,309,312,313,315,317,318,319,320,321,322,323,324,325,326,328,334,337,338,341,342,343,344,345,346,347,401,404,405,406,410,415,417,418,421,428,429,430,431,432,435,454,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,521,573,578,601,605,606,607,608,609,610,611,612,613,614,615,617,618,619,620,621,624,625,626,627,628,629,630,631,636,638,639,641,645,646,652,653,654,662,663,664,665,666,669,670,671,672,673,674,675,676,685,687,689,693,695,696,697,851,852,853,855,856,857,858,859
01001,"BUTTER,WITH SALT",0.85,81.11,0.06,2.11,717,,,,,,,0,15.87,,0,0,2999,0.06,,0,24,0.02,2,24,24,643,0.09,0,2.8,0,1,2499,671,684,158,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.034,0.042,0.11,0.003,3,0.17,18.8,,,7,0,3,3,0.3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,,0,0,215,3.278,51.368,3.226,2.007,1.19,2.529,2.587,7.436,21.697,9.999,0.138,19.961,2.728,0.315,0,0,,,0.961,0,0.1,0,0,0,,0,0,4,21.021,3.043,,0.56,,,2.982,,,0.296,,0.267,,,0.961,16.978,2.166,,,,,2.982,0.296,,,0.315,,,,,,,
01002,"BUTTER,WHIPPED,W/ SALT",0.49,78.3,2.87,1.62,718,,,,,,,0,16.72,,0,0,3005,0.06,,0,23,0.05,1,24,41,583,0.05,0.01,2.8,0.001,0,2468,671,683,135,1,1.37,0,0,0,0,6,0,13,0.07,0.08,0,0.12,0,0,0,0,0.007,0.064,0.022,0.097,0.008,4,0.07,18.8,20.9,0,4.6,0,4,4,0.3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,,0,0,225,2.669,45.39,1.635,1.373,0.858,2.039,2.354,7.515,20.531,7.649,0.106,17.37,2.713,0.298,0.119,0.003,0.032,0.781,1.417,0.003,0.147,0.022,0.005,0.045,,,,,19.874,3.331,0.801,0.476,0.021,0.246,1.911,0,0.503,,,0.413,0.002,0.016,1.17,15.459,1.798,0.005,0.005,0.152,0.086,2.157,0.511,,0,0.285,0.005,0.081,,0.008,,0.02,
01003,"BUTTER OIL,ANHYDROUS",0.28,99.48,0,0,876,,,,,,,0,0.24,,0,0,3665,0,,0,4,0,0,3,5,2,0.01,0.001,,0,0,3069,824,840,193,0,2.8,0,0,0,0,0,0,0,,,,,,,,0,0.001,0.005,0.003,0.01,0.001,0,0.01,22.3,,,8.6,0,0,0,,0.004,0.013,0.017,0.027,0.022,0.007,0.003,0.014,0.014,0.019,0.01,0.008,0.01,0.021,0.059,0.006,0.027,0.015,,0,0,256,,61.924,3.226,1.91,1.112,2.495,2.793,10.005,26.166,12.056,,25.026,2.247,1.447,0,0,,,2.228,0,0,0,0,0,,,,,28.732,3.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01004,"CHEESE,BLUE",21.4,28.74,2.34,5.11,353,,,,,,,0,42.41,,0,0,1477,0.5,,0,528,0.31,23,387,256,1146,2.66,0.04,,0.009,14.5,721,192,198,74,0,0.25,21,,0.5,0.5,0,0,0,,,,,,,,0,0.029,0.382,1.016,1.729,0.166,36,1.22,15.4,,,2.4,0,36,36,,0.312,0.785,1.124,1.919,1.852,0.584,0.107,1.087,1.295,1.556,0.711,0.758,0.644,1.436,5.179,0.406,2.1,1.12,,0,0,75,,18.669,0.658,0.361,0.247,0.601,0.491,3.301,9.153,3.235,,6.622,0.536,0.264,0,0,,,0.816,0,0,0,0,0,,,,,7.778,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,"CHEESE,BRICK",23.24,29.68,2.79,3.18,371,,,,,,,0,41.11,,0,0,1552,0.51,,0,674,0.43,24,451,136,560,2.6,0.024,,0.012,14.5,1080,286,292,76,0,0.26,22,,0.5,0.5,0,0,0,,,,,,,,0,0.014,0.351,0.118,0.288,0.065,20,1.26,15.4,,,2.5,0,20,20,,0.324,0.882,1.137,2.244,2.124,0.565,0.131,1.231,1.115,1.472,0.874,0.823,0.67,1.588,5.515,0.437,2.575,1.289,,0,0,94,,18.764,0.914,0.373,0.299,0.585,0.482,3.227,8.655,3.455,,7.401,0.491,0.293,0,0,,,0.817,0,0,0,0,0,,,,,8.598,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01006,"CHEESE,BRIE",20.75,27.68,0.45,2.7,334,,,,,,,0,48.42,,0,0,1396,0.45,,0,184,0.5,20,188,152,629,2.38,0.019,,0.034,14.5,592,173,174,9,0,0.24,20,,0.5,0.5,0,0,0,,,,,,,,0,0.07,0.52,0.38,0.69,0.235,65,1.65,15.4,,,2.3,0,65,65,,0.322,0.751,1.015,1.929,1.851,0.592,0.114,1.158,1.2,1.34,0.735,0.716,0.859,1.35,4.387,0.397,2.459,1.168,,0,0,100,,17.41,0.564,0.323,0.297,0.673,0.504,3.065,8.246,2.88,,6.563,0.513,0.313,0,0,,,1.007,0,0,0,0,0,,,,,8.013,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,"CHEESE,CAMEMBERT",19.8,24.26,0.46,3.68,300,,,,,,,0,51.8,,0,0,1253,0.46,,0,388,0.33,20,347,187,842,2.38,0.021,,0.038,14.5,820,240,241,12,0,0.21,18,,0.4,0.4,0,0,0,,,,,,,,0,0.028,0.488,0.63,1.364,0.227,62,1.3,15.4,,,2,0,62,62,,0.307,0.717,0.968,1.84,1.766,0.565,0.109,1.105,1.145,1.279,0.701,0.683,0.819,1.288,4.187,0.379,2.346,1.114,,0,0,72,,15.259,0.494,0.283,0.26,0.59,0.442,2.686,7.227,2.524,,5.752,0.45,0.274,0,0,,,0.883,0,0,0,0,0,,,,,7.023,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01008,"CHEESE,CARAWAY",25.18,29.2,3.06,3.28,376,,,,,,,,39.28,,,,1573,,,0,673,0.64,22,490,93,690,2.94,0.024,,0.021,14.5,1054,262,271,,,,,,,,,,,,,,,,,,0,0.031,0.45,0.18,0.19,0.074,18,0.27,,,,,0,18,18,,0.324,0.896,1.563,2.412,2.095,0.659,0.126,1.326,1.216,1.682,0.952,0.884,0.711,1.618,6.16,0.439,2.838,1.472,,,,93,,18.584,0.922,0.466,0.246,0.529,0.477,2.934,8.638,3.531,,6.965,0.508,0.322,,0,,,0.885,0,0,0,0,0,,,,,8.275,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,"CHEESE,CHEDDAR",22.87,33.31,3.09,3.71,404,,0,0.26,0,0.12,0,0,37.02,,0,0,1689,0.48,0.1,0,710,0.14,27,455,76,653,3.64,0.03,34.9,0.027,28.5,1242,330,330,85,0,0.71,24,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0.029,0.428,0.059,0.41,0.066,27,1.1,16.5,8.6,0,2.4,0,27,27,0.7,0.547,1.044,1.206,1.939,1.025,0.547,0.123,1.074,1.108,1.404,0.547,0.547,0.751,1.734,4.735,0.547,2.497,0.78,,0,0,99,0.917,18.867,0.634,0.536,0.337,0.82,0.935,3.005,8.625,3.394,0.048,7.403,1.171,0.114,0.053,0.001,0.015,0.296,0.504,0,0.065,0.01,0.001,0.017,,,,,9.246,1.421,0.318,0.191,0.008,0.101,0.816,0,,,,,0.001,0.007,,,,,,0.059,0.037,0.917,,,0,,,,,,,0.009,
