"208", Calories,kcal,Energy,2100,2440
"204", Fat,g,Total lipid (fat),68.08,84.28
"606", Saturated fats,g,"Fatty acids, total saturated",None,25
"601", Cholesterol,mg,Cholesterol,None,None
"205", Carbs,g,"Carbohydrate, by difference",285.66,350
"269", Sugar,g,"Sugars, total",None,150.0
"291", Fiber,g,"Fiber, total dietary",23,46
"203", Protein,g,Protein,78.2,96
"301", Calcium,mg,"Calcium, Ca",1000,2500
"303", Iron,mg,"Iron, Fe",14.4,45
"304", Magnesium,mg,"Magnesium, Mg",400,None
"305", Phosphorus,mg,"Phosphorus, P",700,4000
"306", Potassium,mg,"Potassium, K",4700,None
"307", Sodium,mg,"Sodium, Na",1500,2300
"309", Zinc,mg,"Zinc, Zn",16.5,40
"312", Copper,mg,"Copper, Cu",0.9,10
"315", Manganese,mg,"Manganese, Mn",2.3,11
"317", Selenium,µg,"Selenium, Se",55,400
"401", Vit C,mg,"Vitamin C, total ascorbic acid",90,2000
"404", Thiamin,mg,Thiamin,1.2,None
"405", Riboflavin,mg,Riboflavin,1.3,None
"406", Niacin,mg,Niacin,16,35
"410", Pantothenic acid,mg,Pantothenic acid,5,None
"415", Vit B6,mg,Vitamin B-6,1.3,100
"417", Folate,µg,"Folate, total",400,1000
"421", Choline,mg,"Choline, total",550,3500
"418", Vit B12,µg,Vitamin B-12,2.4,None
"320", Vit A,µg,"Vitamin A, RAE",900,1350
"323", Vit E,mg,Vitamin E (alpha-tocopherol),15,1000
"328", Vit D,µg,Vitamin D (D2 + D3),5,100
"430", Vit K,µg,Vitamin K (phylloquinone),120,None
"851", Alpha Linoleic Acid,g,18:3 undifferentiated,1.584,1.616
"618", Linoleic Acid,g,18:2 undifferentiated,16.83,17.17
